,CRDID,FINRAMember,firmName,IMID,exchangeID,ATSFlag,defaultIMIDFlag
7389,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBTA,BZXOP,,
7390,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBTR,BZXOP,,
7391,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBTX,BZXOP,,
7392,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMA,EDGXOP,,
7393,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMB,EDGXOP,,
7394,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMC,EDGXOP,,
7395,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMD,EDGXOP,,
7396,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDME,EDGXOP,,
7397,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMF,EDGXOP,,
7398,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMG,EDGXOP,,
7399,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMH,EDGXOP,,
7400,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMI,EDGXOP,,
7401,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMJ,EDGXOP,,
7402,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMK,EDGXOP,,
7403,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDML,EDGXOP,,
7404,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMM,EDGXOP,,
7405,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMN,EDGXOP,,
7406,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMO,EDGXOP,,
7407,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMP,EDGXOP,,
7408,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDMT,EDGXOP,,
7409,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDSE,EDGXOP,,
7410,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDSI,EDGXOP,,
7411,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDST,EDGXOP,,
7412,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SDTR,EDGXOP,,
7413,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SETR,EDGXOP,,
7414,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SGAB,EDGXOP,,
7415,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQBA,CBOE,,
7416,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQBB,CBOE,,
7417,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQBC,CBOE,,
7418,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQBD,CBOE,,
7419,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQBE,CBOE,,
7420,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQBF,CBOE,,
7421,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQDE,CBOE,,
7422,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQEX,CBOE,,
7423,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQGA,CBOE,,
7424,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQGB,CBOE,,
7425,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQGC,CBOE,,
7426,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQKG,BZXOP,,
7427,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQKG,CBOE,,
7428,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQKH,BZXOP,,
7429,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQKH,CBOE,,
7430,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQKI,BZXOP,,
7431,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQKJ,BZXOP,,
7432,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQKK,CBOE,,
7433,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQKL,CBOE,,
7434,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQMC,CBOE,,
7435,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQME,CBOE,,
7436,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQMI,CBOE,,
7437,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQNA,CBOE,,
7438,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQPA,CBOE,,
7439,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQPB,CBOE,,
7440,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQPS,CBOE,,
7441,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQPX,CBOE,,
7442,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQA,CBOE,,
7443,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQB,CBOE,,
7444,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQC,CBOE,,
7445,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQD,CBOE,,
7446,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQE,CBOE,,
7447,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQF,CBOE,,
7448,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQG,CBOE,,
7449,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQH,CBOE,,
7450,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQI,CBOE,,
7451,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQJ,CBOE,,
7452,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQK,CBOE,,
7453,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQQL,CBOE,,
7454,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQSC,CBOE,,
7455,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQSI,CBOE,,
7456,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQTA,CBOE,,
7457,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQTB,CBOE,,
7458,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQTC,CBOE,,
7459,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXA,CBOE,,
7460,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXB,CBOE,,
7461,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXC,CBOE,,
7462,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXD,CBOE,,
7463,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXE,CBOE,,
7464,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXF,CBOE,,
7465,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXG,CBOE,,
7466,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXH,CBOE,,
7467,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SQXI,CBOE,,
7468,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAA,C2,,
7469,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAB,C2,,
7470,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAC,C2,,
7471,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAD,C2,,
7472,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAE,C2,,
7473,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAF,C2,,
7474,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAH,C2,,
7475,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAI,C2,,
7476,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAJ,C2,,
7477,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAK,C2,,
7478,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAL,C2,,
7479,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSAM,C2,,
7546,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSPX,CBOE,,
7578,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSTR,C2,,
7579,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSUA,C2,,
7580,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSUC,C2,,
7581,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSUI,C2,,
7582,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSUP,C2,,
7589,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSUS,C2,,Y
7590,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SSUS,CBOE,,Y
7604,35874,Y,"SUSQUEHANNA SECURITIES, LLC",TORQ,BZXOP,,
7712,36418,Y,INTERACTIVE BROKERS LLC,IBKR,BZXOP,,Y
7716,36418,Y,INTERACTIVE BROKERS LLC,IBKR,EDGXOP,,Y
7734,36418,Y,INTERACTIVE BROKERS LLC,IBRO,EDGXOP,,
8108,36848,Y,"WOLVERINE TRADING, LLC",WBRR,BZXOP,,
8116,36848,Y,"WOLVERINE TRADING, LLC",WHRD,CBOE,,
8117,36848,Y,"WOLVERINE TRADING, LLC",WHRW,CBOE,,
8118,36848,Y,"WOLVERINE TRADING, LLC",WLDD,BZXOP,,
8119,36848,Y,"WOLVERINE TRADING, LLC",WLDD,C2,,
8120,36848,Y,"WOLVERINE TRADING, LLC",WLDD,EDGXOP,,
8121,36848,Y,"WOLVERINE TRADING, LLC",WLED,BZXOP,,
8122,36848,Y,"WOLVERINE TRADING, LLC",WLED,C2,,
8123,36848,Y,"WOLVERINE TRADING, LLC",WLED,EDGXOP,,
8124,36848,Y,"WOLVERINE TRADING, LLC",WLEU,BZXOP,,
8125,36848,Y,"WOLVERINE TRADING, LLC",WLEU,C2,,
8126,36848,Y,"WOLVERINE TRADING, LLC",WLEU,EDGXOP,,
8127,36848,Y,"WOLVERINE TRADING, LLC",WLUD,BZXOP,,
8128,36848,Y,"WOLVERINE TRADING, LLC",WLUD,EDGXOP,,
8129,36848,Y,"WOLVERINE TRADING, LLC",WLUU,BZXOP,,
8130,36848,Y,"WOLVERINE TRADING, LLC",WLUU,C2,,
8131,36848,Y,"WOLVERINE TRADING, LLC",WLUU,EDGXOP,,
8132,36848,Y,"WOLVERINE TRADING, LLC",WLVA,CBOE,,
8134,36848,Y,"WOLVERINE TRADING, LLC",WLVB,CBOE,,
8136,36848,Y,"WOLVERINE TRADING, LLC",WLVC,CBOE,,
8138,36848,Y,"WOLVERINE TRADING, LLC",WLVD,CBOE,,
8139,36848,Y,"WOLVERINE TRADING, LLC",WLVD,EDGXOP,,
8141,36848,Y,"WOLVERINE TRADING, LLC",WLVE,BZXOP,,
8142,36848,Y,"WOLVERINE TRADING, LLC",WLVE,C2,,
8143,36848,Y,"WOLVERINE TRADING, LLC",WLVE,EDGXOP,,
8145,36848,Y,"WOLVERINE TRADING, LLC",WLVF,CBOE,,
8147,36848,Y,"WOLVERINE TRADING, LLC",WLVG,BZXOP,,
8148,36848,Y,"WOLVERINE TRADING, LLC",WLVG,C2,,
8149,36848,Y,"WOLVERINE TRADING, LLC",WLVG,CBOE,,
8150,36848,Y,"WOLVERINE TRADING, LLC",WLVG,EDGXOP,,
8153,36848,Y,"WOLVERINE TRADING, LLC",WLVI,CBOE,,
8154,36848,Y,"WOLVERINE TRADING, LLC",WLVI,EDGXOP,,
8157,36848,Y,"WOLVERINE TRADING, LLC",WLVJ,BZXOP,,
8158,36848,Y,"WOLVERINE TRADING, LLC",WLVJ,C2,,
8159,36848,Y,"WOLVERINE TRADING, LLC",WLVJ,CBOE,,
8160,36848,Y,"WOLVERINE TRADING, LLC",WLVJ,EDGXOP,,
8161,36848,Y,"WOLVERINE TRADING, LLC",WLVL,C2,,
8162,36848,Y,"WOLVERINE TRADING, LLC",WLVL,CBOE,,
8163,36848,Y,"WOLVERINE TRADING, LLC",WLVL,EDGXOP,,
8165,36848,Y,"WOLVERINE TRADING, LLC",WLVM,BZXOP,,
